Reporting starts,Reporting ends,Campaign name,Amount spent (BRL),Impressions,Reach,Frequency,Link clicks,Cost per link click (BRL),CTR (link click-through rate),"CPM (cost per 1,000 impressions)",Adds to cart,Checkouts initiated,Purchases,Purchases conversion value,Website purchase ROAS (return on ad spend)
2026-07-01,2026-07-01,Home Appliances 2,"83,98",2334,1680,"1,39",31,"2,71","1,33%","35,98",4,2,2,"681,96","8,12"
2026-07-01,2026-07-01,Small Appliances Home Oven And Coffee,"48,89",2399,1727,"1,39",41,"1,19","1,71%","20,38",3,1,0,"0,00","0,00"
2026-07-01,2026-07-01,Furniture Bedroom,"38,63",1916,1380,"1,39",32,"1,21","1,67%","20,16",4,1,1,"234,54","6,07"
2026-07-02,2026-07-02,Home Appliances 2,"81,14",2273,1637,"1,39",29,"2,80","1,28%","35,70",3,2,1,"326,76","4,03"
2026-07-02,2026-07-02,Small Appliances Home Oven And Coffee,"55,57",2467,1776,"1,39",38,"1,46","1,54%","22,53",3,1,1,"575,33","10,35"
2026-07-02,2026-07-02,Furniture Bedroom,"37,57",1751,1261,"1,39",40,"0,94","2,28%","21,46",5,2,1,"234,58","6,24"
2026-07-03,2026-07-03,Home Appliances 2,"73,02",2078,1496,"1,39",35,"2,09","1,68%","35,14",5,2,1,"319,07","4,37"
2026-07-03,2026-07-03,Small Appliances Home Oven And Coffee,"53,08",2872,2068,"1,39",50,"1,06","1,74%","18,48",4,1,0,"0,00","0,00"
2026-07-03,2026-07-03,Furniture Bedroom,"36,78",1560,1123,"1,39",29,"1,27","1,86%","23,58",3,1,0,"0,00","0,00"
2026-07-04,2026-07-04,Home Appliances 2,"121,26",2742,1974,"1,39",33,"3,67","1,20%","44,22",4,2,1,"324,94","2,68"
2026-07-04,2026-07-04,Small Appliances Home Oven And Coffee,"31,26",1680,1210,"1,39",24,"1,30","1,43%","18,61",3,1,0,"0,00","0,00"
2026-07-04,2026-07-04,Furniture Bedroom,"37,15",1639,1180,"1,39",32,"1,16","1,95%","22,67",4,1,1,"211,47","5,69"
2026-07-05,2026-07-05,Home Appliances 2,"124,04",3564,2566,"1,39",46,"2,70","1,29%","34,80",6,3,3,"956,67","7,71"
2026-07-05,2026-07-05,Small Appliances Home Oven And Coffee,"31,95",1544,1112,"1,39",28,"1,14","1,81%","20,69",4,2,1,"731,06","22,88"
2026-07-05,2026-07-05,Furniture Bedroom,"33,11",1672,1204,"1,39",27,"1,23","1,61%","19,80",3,1,1,"224,71","6,79"
2026-07-06,2026-07-06,Home Appliances 2,"127,86",3347,2410,"1,39",50,"2,56","1,49%","38,20",6,3,2,"615,16","4,81"
2026-07-06,2026-07-06,Small Appliances Home Oven And Coffee,"31,84",1676,1207,"1,39",23,"1,38","1,37%","19,00",3,1,1,"562,44","17,66"
2026-07-06,2026-07-06,Furniture Bedroom,"35,29",1781,1282,"1,39",34,"1,04","1,91%","19,81",4,2,1,"233,37","6,61"
2026-07-07,2026-07-07,Home Appliances 2,"129,67",3690,2657,"1,39",50,"2,59","1,36%","35,14",6,4,3,"1.027,38","7,92"
2026-07-07,2026-07-07,Small Appliances Home Oven And Coffee,"31,35",1561,1124,"1,39",29,"1,08","1,86%","20,08",3,1,1,"662,08","21,12"
2026-07-07,2026-07-07,Furniture Bedroom,"34,87",1462,1053,"1,39",28,"1,25","1,92%","23,85",4,1,1,"261,78","7,51"
2026-07-08,2026-07-08,Home Appliances 2,"113,99",2946,2121,"1,39",41,"2,78","1,39%","38,69",5,3,2,"647,16","5,68"
2026-07-08,2026-07-08,Small Appliances Home Oven And Coffee,"32,05",1604,1155,"1,39",30,"1,07","1,87%","19,98",3,1,1,"669,22","20,88"
2026-07-08,2026-07-08,Furniture Bedroom,"35,83",1891,1362,"1,39",33,"1,09","1,75%","18,95",4,1,1,"254,67","7,11"
2026-07-09,2026-07-09,Home Appliances 2,"116,48",3224,2321,"1,39",39,"2,99","1,21%","36,13",5,2,2,"664,69","5,71"
2026-07-09,2026-07-09,Small Appliances Home Oven And Coffee,"29,33",1679,1209,"1,39",30,"0,98","1,79%","17,47",2,0,0,"0,00","0,00"
2026-07-09,2026-07-09,Furniture Bedroom,"36,61",1547,1114,"1,39",28,"1,31","1,81%","23,67",2,0,0,"0,00","0,00"
2026-07-10,2026-07-10,Home Appliances 2,"114,39",3302,2377,"1,39",49,"2,33","1,48%","34,64",7,4,3,"1.019,93","8,92"
2026-07-10,2026-07-10,Small Appliances Home Oven And Coffee,"31,68",1581,1138,"1,39",27,"1,17","1,71%","20,04",2,1,1,"607,29","19,17"
2026-07-10,2026-07-10,Furniture Bedroom,"35,11",1497,1078,"1,39",22,"1,60","1,47%","23,45",3,1,0,"0,00","0,00"
2026-07-11,2026-07-11,Home Appliances 2,"129,53",3524,2537,"1,39",64,"2,02","1,82%","36,76",6,3,2,"644,27","4,97"
2026-07-11,2026-07-11,Small Appliances Home Oven And Coffee,"31,89",1603,1154,"1,39",28,"1,14","1,75%","19,89",2,1,1,"617,06","19,35"
2026-07-11,2026-07-11,Furniture Bedroom,"35,24",1763,1269,"1,39",26,"1,36","1,47%","19,99",3,1,0,"0,00","0,00"
2026-07-12,2026-07-12,Home Appliances 2,"89,64",2613,1881,"1,39",33,"2,72","1,26%","34,31",4,2,2,"690,03","7,70"
2026-07-12,2026-07-12,Small Appliances Home Oven And Coffee,"60,29",2554,1839,"1,39",35,"1,72","1,37%","23,61",3,1,1,"727,80","12,07"
2026-07-12,2026-07-12,Furniture Bedroom,"35,04",1487,1071,"1,39",25,"1,40","1,68%","23,56",3,2,2,"542,10","15,47"
2026-07-13,2026-07-13,Home Appliances 2,"85,50",2403,1730,"1,39",34,"2,51","1,41%","35,58",4,2,2,"716,44","8,38"
2026-07-13,2026-07-13,Small Appliances Home Oven And Coffee,"52,26",2665,1919,"1,39",46,"1,14","1,73%","19,61",5,2,1,"742,26","14,20"
2026-07-13,2026-07-13,Furniture Bedroom,"35,78",1762,1269,"1,39",28,"1,28","1,59%","20,31",4,1,0,"0,00","0,00"
2026-07-14,2026-07-14,Home Appliances 2,"80,30",2463,1773,"1,39",41,"1,96","1,66%","32,60",6,3,2,"612,43","7,63"
2026-07-14,2026-07-14,Small Appliances Home Oven And Coffee,"56,38",2806,2020,"1,39",51,"1,11","1,82%","20,09",4,1,1,"570,09","10,11"
2026-07-14,2026-07-14,Furniture Bedroom,"36,46",1621,1167,"1,39",28,"1,30","1,73%","22,49",4,1,0,"0,00","0,00"
2026-07-15,2026-07-15,Home Appliances 2,"80,96",2289,1648,"1,39",33,"2,45","1,44%","35,37",4,3,2,"656,00","8,10"
2026-07-15,2026-07-15,Small Appliances Home Oven And Coffee,"51,59",2442,1758,"1,39",44,"1,17","1,80%","21,13",4,1,0,"0,00","0,00"
2026-07-15,2026-07-15,Furniture Bedroom,"35,34",1766,1272,"1,39",28,"1,26","1,59%","20,01",3,1,0,"0,00","0,00"
2026-07-16,2026-07-16,Home Appliances 2,"87,11",2293,1651,"1,39",21,"4,15","0,92%","37,99",2,2,1,"395,21","4,54"
2026-07-16,2026-07-16,Small Appliances Home Oven And Coffee,"32,15",1582,1139,"1,39",28,"1,15","1,77%","20,32",2,1,0,"0,00","0,00"
2026-07-16,2026-07-16,Furniture Bedroom,"35,35",1838,1323,"1,39",33,"1,07","1,80%","19,23",4,2,1,"219,50","6,21"
2026-07-17,2026-07-17,Home Appliances 2,"53,50",1774,1277,"1,39",28,"1,91","1,58%","30,16",4,2,1,"334,60","6,25"
2026-07-17,2026-07-17,Small Appliances Home Oven And Coffee,"25,99",1391,1002,"1,39",25,"1,04","1,80%","18,68",3,1,1,"647,03","24,90"
2026-07-17,2026-07-17,Furniture Bedroom,"35,73",1628,1172,"1,39",30,"1,19","1,84%","21,95",2,0,0,"0,00","0,00"
2026-07-18,2026-07-18,Home Appliances 2,"57,76",1621,1167,"1,39",24,"2,41","1,48%","35,63",4,2,2,"725,79","12,57"
2026-07-18,2026-07-18,Small Appliances Home Oven And Coffee,"32,97",1480,1066,"1,39",26,"1,27","1,76%","22,28",2,0,0,"0,00","0,00"
2026-07-18,2026-07-18,Furniture Bedroom,"35,69",1501,1081,"1,39",23,"1,55","1,53%","23,78",3,2,1,"265,30","7,43"
2026-07-19,2026-07-19,Home Appliances 2,"54,66",1682,1211,"1,39",25,"2,19","1,49%","32,50",3,1,1,"330,58","6,05"
2026-07-19,2026-07-19,Small Appliances Home Oven And Coffee,"31,46",1712,1233,"1,39",27,"1,17","1,58%","18,38",3,1,1,"578,15","18,38"
2026-07-19,2026-07-19,Furniture Bedroom,"64,17",2590,1865,"1,39",43,"1,49","1,66%","24,78",4,1,1,"197,08","3,07"
2026-07-20,2026-07-20,Home Appliances 2,"53,83",1769,1274,"1,39",25,"2,15","1,41%","30,43",3,2,1,"325,90","6,05"
2026-07-20,2026-07-20,Small Appliances Home Oven And Coffee,"32,42",1578,1136,"1,39",27,"1,20","1,71%","20,54",3,1,1,"697,87","21,53"
2026-07-20,2026-07-20,Furniture Bedroom,"64,39",2193,1579,"1,39",36,"1,79","1,64%","29,36",4,1,0,"0,00","0,00"
2026-07-21,2026-07-21,Home Appliances 2,"84,59",2458,1770,"1,39",35,"2,42","1,42%","34,41",5,3,2,"632,41","7,48"
2026-07-21,2026-07-21,Small Appliances Home Oven And Coffee,"33,45",1761,1268,"1,39",36,"0,93","2,04%","18,99",3,2,2,"952,75","28,48"
2026-07-21,2026-07-21,Furniture Bedroom,"64,53",2698,1943,"1,39",39,"1,65","1,45%","23,92",5,2,1,"218,94","3,39"
2026-07-22,2026-07-22,Home Appliances 2,"75,55",2282,1643,"1,39",33,"2,29","1,45%","33,11",3,1,0,"0,00","0,00"
2026-07-22,2026-07-22,Small Appliances Home Oven And Coffee,"49,57",2255,1624,"1,39",40,"1,24","1,77%","21,98",5,2,1,"662,97","13,37"
2026-07-22,2026-07-22,Furniture Bedroom,"95,84",3247,2338,"1,39",55,"1,74","1,69%","29,52",7,3,1,"182,81","1,91"
2026-07-23,2026-07-23,Home Appliances 2,"83,20",2382,1715,"1,39",43,"1,93","1,81%","34,93",7,4,3,"910,82","10,95"
2026-07-23,2026-07-23,Small Appliances Home Oven And Coffee,"54,27",2571,1851,"1,39",42,"1,29","1,63%","21,11",3,1,0,"0,00","0,00"
2026-07-23,2026-07-23,Furniture Bedroom,"92,03",3166,2280,"1,39",52,"1,77","1,64%","29,07",5,2,1,"234,77","2,55"
2026-07-24,2026-07-24,Home Appliances 2,"75,72",2348,1691,"1,39",35,"2,16","1,49%","32,25",4,2,1,"342,09","4,52"
2026-07-24,2026-07-24,Small Appliances Home Oven And Coffee,"54,47",2652,1909,"1,39",48,"1,13","1,81%","20,54",6,3,2,"1.352,29","24,83"
2026-07-24,2026-07-24,Furniture Bedroom,"85,08",2677,1927,"1,39",49,"1,74","1,83%","31,78",7,3,2,"454,21","5,34"
2026-07-25,2026-07-25,Home Appliances 2,"88,36",2375,1710,"1,39",39,"2,27","1,64%","37,20",5,2,2,"613,72","6,95"
2026-07-25,2026-07-25,Small Appliances Home Oven And Coffee,"31,09",1633,1176,"1,39",38,"0,82","2,33%","19,04",4,2,2,"1.294,69","41,64"
2026-07-25,2026-07-25,Furniture Bedroom,"77,05",2819,2030,"1,39",41,"1,88","1,45%","27,33",4,2,2,"525,77","6,82"
2026-07-26,2026-07-26,Home Appliances 2,"119,24",3000,2160,"1,39",43,"2,77","1,43%","39,75",6,3,3,"1.131,20","9,49"
2026-07-26,2026-07-26,Small Appliances Home Oven And Coffee,"30,04",1774,1277,"1,39",33,"0,91","1,86%","16,93",3,2,1,"598,99","19,94"
2026-07-26,2026-07-26,Furniture Bedroom,"67,48",2208,1590,"1,39",33,"2,04","1,49%","30,56",4,2,1,"253,57","3,76"
2026-07-27,2026-07-27,Home Appliances 2,"116,30",3160,2275,"1,39",45,"2,58","1,42%","36,80",6,3,2,"650,13","5,59"
2026-07-27,2026-07-27,Small Appliances Home Oven And Coffee,"32,10",1508,1086,"1,39",26,"1,23","1,72%","21,29",3,2,2,"1.191,57","37,12"
2026-07-27,2026-07-27,Furniture Bedroom,"68,13",2465,1775,"1,39",45,"1,51","1,83%","27,64",5,2,1,"274,68","4,03"
2026-07-28,2026-07-28,Home Appliances 2,"127,84",3330,2398,"1,39",50,"2,56","1,50%","38,39",5,3,2,"829,58","6,49"
2026-07-28,2026-07-28,Small Appliances Home Oven And Coffee,"31,59",1506,1084,"1,39",22,"1,44","1,46%","20,98",2,0,0,"0,00","0,00"
2026-07-28,2026-07-28,Furniture Bedroom,"64,75",2404,1731,"1,39",38,"1,70","1,58%","26,93",4,1,1,"238,86","3,69"
2026-07-29,2026-07-29,Home Appliances 2,"109,53",3019,2174,"1,39",47,"2,33","1,56%","36,28",6,3,2,"631,17","5,76"
2026-07-29,2026-07-29,Small Appliances Home Oven And Coffee,"54,98",2357,1697,"1,39",33,"1,67","1,40%","23,33",4,1,1,"676,68","12,31"
2026-07-29,2026-07-29,Furniture Bedroom,"66,91",2254,1623,"1,39",39,"1,72","1,73%","29,69",4,2,1,"256,97","3,84"
