Reporting starts,Reporting ends,Campaign name,Amount spent (BRL),Impressions,Reach,Frequency,Link clicks,Cost per link click (BRL),CTR (link click-through rate),"CPM (cost per 1,000 impressions)",Adds to cart,Checkouts initiated,Purchases,Purchases conversion value,Website purchase ROAS (return on ad spend)
2026-07-01,2026-07-01,Utilidades — teste,"92,78",4068,3537,"1,15",58,"1,60","1,43%","22,81",1,0,0,"0,00","0,00"
2026-07-02,2026-07-02,Utilidades — teste,"106,40",4202,3561,"1,18",64,"1,66","1,52%","25,32",2,1,0,"0,00","0,00"
2026-07-03,2026-07-03,Utilidades — teste,"99,36",3927,3245,"1,21",64,"1,55","1,63%","25,30",2,0,0,"0,00","0,00"
2026-07-04,2026-07-04,Utilidades — teste,"102,49",4003,3228,"1,24",62,"1,65","1,55%","25,60",1,0,0,"0,00","0,00"
2026-07-05,2026-07-05,Utilidades — teste,"102,04",4512,3553,"1,27",62,"1,65","1,37%","22,62",2,1,0,"0,00","0,00"
2026-07-06,2026-07-06,Utilidades — teste,"100,00",3647,2805,"1,30",56,"1,79","1,54%","27,42",1,0,0,"0,00","0,00"
2026-07-07,2026-07-07,Utilidades — teste,"100,49",3629,2729,"1,33",44,"2,28","1,21%","27,69",1,0,0,"0,00","0,00"
2026-07-08,2026-07-08,Utilidades — teste,"98,90",3804,2797,"1,36",47,"2,10","1,24%","26,00",1,0,0,"0,00","0,00"
2026-07-09,2026-07-09,Utilidades — teste,"93,92",3729,2683,"1,39",51,"1,84","1,37%","25,19",2,1,0,"0,00","0,00"
2026-07-10,2026-07-10,Utilidades — teste,"94,91",4315,3039,"1,42",53,"1,79","1,23%","22,00",1,1,1,"53,03","0,56"
2026-07-11,2026-07-11,Utilidades — teste,"99,68",4016,2770,"1,45",61,"1,63","1,52%","24,82",2,1,1,"53,03","0,53"
2026-07-12,2026-07-12,Utilidades — teste,"104,23",3779,2553,"1,48",53,"1,97","1,40%","27,58",1,0,0,"0,00","0,00"
2026-07-13,2026-07-13,Utilidades — teste,"101,98",4927,3263,"1,51",77,"1,32","1,56%","20,70",2,1,0,"0,00","0,00"
2026-07-14,2026-07-14,Utilidades — teste,"95,19",4000,2597,"1,54",52,"1,83","1,30%","23,80",1,1,0,"0,00","0,00"
2026-07-15,2026-07-15,Utilidades — teste,"101,39",3668,2336,"1,57",62,"1,64","1,69%","27,64",2,0,0,"0,00","0,00"
2026-07-16,2026-07-16,Utilidades — teste,"102,06",3738,2336,"1,60",56,"1,82","1,50%","27,30",2,1,0,"0,00","0,00"
2026-07-17,2026-07-17,Utilidades — teste,"95,71",3590,2202,"1,63",54,"1,77","1,50%","26,66",2,1,1,"53,03","0,55"
2026-07-18,2026-07-18,Utilidades — teste,"101,22",4819,2903,"1,66",66,"1,53","1,37%","21,00",2,1,1,"53,03","0,52"
2026-07-19,2026-07-19,Utilidades — teste,"94,10",3944,2334,"1,69",64,"1,47","1,62%","23,86",2,1,1,"53,03","0,56"
2026-07-20,2026-07-20,Utilidades — teste,"99,98",4187,2434,"1,72",67,"1,49","1,60%","23,88",1,1,1,"53,03","0,53"
2026-07-21,2026-07-21,Utilidades — teste,"97,76",4021,2298,"1,75",54,"1,81","1,34%","24,31",1,0,0,"0,00","0,00"
2026-07-22,2026-07-22,Utilidades — teste,"104,79",3666,2060,"1,78",60,"1,75","1,64%","28,58",1,1,1,"53,03","0,51"
2026-07-23,2026-07-23,Utilidades — teste,"97,65",4671,2581,"1,81",61,"1,60","1,31%","20,91",2,1,1,"53,03","0,54"
2026-07-24,2026-07-24,Utilidades — teste,"100,91",3835,2084,"1,84",52,"1,94","1,36%","26,31",1,0,0,"0,00","0,00"
2026-07-25,2026-07-25,Utilidades — teste,"101,63",3920,2096,"1,87",55,"1,85","1,40%","25,93",2,1,0,"0,00","0,00"
2026-07-26,2026-07-26,Utilidades — teste,"93,42",4260,2242,"1,90",62,"1,51","1,46%","21,93",1,0,0,"0,00","0,00"
2026-07-27,2026-07-27,Utilidades — teste,"105,19",4529,2347,"1,93",69,"1,52","1,52%","23,23",2,1,0,"0,00","0,00"
2026-07-28,2026-07-28,Utilidades — teste,"96,07",4116,2100,"1,96",66,"1,46","1,60%","23,34",1,0,0,"0,00","0,00"
2026-07-29,2026-07-29,Utilidades — teste,"96,16",4548,2285,"1,99",65,"1,48","1,43%","21,14",2,1,0,"0,00","0,00"
2026-07-30,2026-07-30,Utilidades — teste,"101,09",3431,1699,"2,02",56,"1,81","1,63%","29,46",1,1,1,"53,03","0,52"
