Reporting starts,Reporting ends,Campaign name,Ad set name,Amount spent (BRL),Impressions,Reach,Frequency,Link clicks,Cost per link click (BRL),CTR (link click-through rate),"CPM (cost per 1,000 impressions)",Adds to cart,Checkouts initiated,Purchases,Purchases conversion value,Website purchase ROAS (return on ad spend)
2026-07-01,2026-07-01,Relógios — sempre ativo,Lookalike 1% — compradores,"120,97",6366,5536,"1,15",67,"1,81","1,05%","19,00",8,3,2,"397,06","3,28"
2026-07-01,2026-07-01,Relógios — sempre ativo,Interesse — relógios,"106,01",5579,4851,"1,15",58,"1,83","1,04%","19,00",7,3,2,"397,06","3,75"
2026-07-01,2026-07-01,Relógios — sempre ativo,Retargeting — 30 dias,"29,64",1560,1356,"1,15",16,"1,85","1,03%","19,00",2,1,0,"0,00","0,00"
2026-07-02,2026-07-02,Relógios — sempre ativo,Lookalike 1% — compradores,"132,54",7033,5960,"1,18",60,"2,21","0,85%","18,85",7,3,2,"397,06","3,00"
2026-07-02,2026-07-02,Relógios — sempre ativo,Interesse — relógios,"82,53",4379,3711,"1,18",37,"2,23","0,84%","18,85",5,2,1,"198,53","2,41"
2026-07-02,2026-07-02,Relógios — sempre ativo,Retargeting — 30 dias,"32,51",1725,1462,"1,18",15,"2,17","0,87%","18,85",2,1,0,"0,00","0,00"
2026-07-03,2026-07-03,Relógios — sempre ativo,Lookalike 1% — compradores,"123,76",6812,5630,"1,21",73,"1,70","1,07%","18,17",8,4,2,"397,06","3,21"
2026-07-03,2026-07-03,Relógios — sempre ativo,Interesse — relógios,"58,38",3213,2655,"1,21",34,"1,72","1,06%","18,17",4,2,1,"198,53","3,40"
2026-07-03,2026-07-03,Relógios — sempre ativo,Retargeting — 30 dias,"45,57",2508,2073,"1,21",27,"1,69","1,08%","18,17",3,2,1,"198,53","4,36"
2026-07-04,2026-07-04,Relógios — sempre ativo,Lookalike 1% — compradores,"125,65",6371,5138,"1,24",65,"1,93","1,02%","19,72",7,3,1,"198,53","1,58"
2026-07-04,2026-07-04,Relógios — sempre ativo,Interesse — relógios,"60,70",3078,2482,"1,24",31,"1,96","1,01%","19,72",3,1,1,"198,53","3,27"
2026-07-04,2026-07-04,Relógios — sempre ativo,Retargeting — 30 dias,"68,95",3496,2820,"1,24",36,"1,92","1,03%","19,72",4,2,1,"198,53","2,88"
2026-07-05,2026-07-05,Relógios — sempre ativo,Lookalike 1% — compradores,"92,97",5017,3950,"1,27",45,"2,07","0,90%","18,53",6,3,1,"198,53","2,14"
2026-07-05,2026-07-05,Relógios — sempre ativo,Interesse — relógios,"64,47",3479,2739,"1,27",31,"2,08","0,89%","18,53",4,2,1,"198,53","3,08"
2026-07-05,2026-07-05,Relógios — sempre ativo,Retargeting — 30 dias,"64,64",3488,2747,"1,27",31,"2,09","0,89%","18,53",4,2,1,"198,53","3,07"
2026-07-06,2026-07-06,Relógios — sempre ativo,Lookalike 1% — compradores,"93,46",4336,3336,"1,30",38,"2,46","0,88%","21,55",4,2,1,"198,53","2,12"
2026-07-06,2026-07-06,Relógios — sempre ativo,Interesse — relógios,"93,67",4346,3343,"1,30",39,"2,40","0,90%","21,55",5,2,2,"397,06","4,24"
2026-07-06,2026-07-06,Relógios — sempre ativo,Retargeting — 30 dias,"61,16",2838,2183,"1,30",25,"2,45","0,88%","21,55",3,2,1,"198,53","3,25"
2026-07-07,2026-07-07,Relógios — sempre ativo,Lookalike 1% — compradores,"91,54",4326,3253,"1,33",41,"2,23","0,95%","21,16",6,3,1,"198,53","2,17"
2026-07-07,2026-07-07,Relógios — sempre ativo,Interesse — relógios,"99,28",4692,3528,"1,33",44,"2,26","0,94%","21,16",6,4,1,"198,53","2,00"
2026-07-07,2026-07-07,Relógios — sempre ativo,Retargeting — 30 dias,"38,33",1812,1362,"1,33",17,"2,25","0,94%","21,15",2,1,1,"198,53","5,18"
2026-07-08,2026-07-08,Relógios — sempre ativo,Lookalike 1% — compradores,"113,39",5845,4298,"1,36",43,"2,64","0,74%","19,40",5,2,1,"198,53","1,75"
2026-07-08,2026-07-08,Relógios — sempre ativo,Interesse — relógios,"99,38",5123,3767,"1,36",38,"2,62","0,74%","19,40",4,2,1,"198,53","2,00"
2026-07-08,2026-07-08,Relógios — sempre ativo,Retargeting — 30 dias,"27,78",1432,1053,"1,36",11,"2,53","0,77%","19,40",1,0,0,"0,00","0,00"
2026-07-09,2026-07-09,Relógios — sempre ativo,Lookalike 1% — compradores,"131,48",6077,4372,"1,39",62,"2,12","1,02%","21,64",6,3,1,"198,53","1,51"
2026-07-09,2026-07-09,Relógios — sempre ativo,Interesse — relógios,"81,86",3784,2722,"1,39",38,"2,15","1,00%","21,63",4,2,1,"198,53","2,43"
2026-07-09,2026-07-09,Relógios — sempre ativo,Retargeting — 30 dias,"32,25",1491,1073,"1,39",15,"2,15","1,01%","21,63",1,0,0,"0,00","0,00"
2026-07-10,2026-07-10,Relógios — sempre ativo,Lookalike 1% — compradores,"144,69",7711,5430,"1,42",63,"2,30","0,82%","18,76",5,2,1,"198,53","1,37"
2026-07-10,2026-07-10,Relógios — sempre ativo,Interesse — relógios,"68,24",3637,2561,"1,42",30,"2,27","0,82%","18,76",3,1,1,"198,53","2,91"
2026-07-10,2026-07-10,Relógios — sempre ativo,Retargeting — 30 dias,"53,28",2839,2000,"1,42",23,"2,32","0,81%","18,77",2,1,0,"0,00","0,00"
2026-07-11,2026-07-11,Relógios — sempre ativo,Lookalike 1% — compradores,"126,06",6441,4442,"1,45",70,"1,80","1,09%","19,57",7,3,2,"397,06","3,15"
2026-07-11,2026-07-11,Relógios — sempre ativo,Interesse — relógios,"60,90",3112,2146,"1,45",34,"1,79","1,09%","19,57",3,1,1,"198,53","3,26"
2026-07-11,2026-07-11,Relógios — sempre ativo,Retargeting — 30 dias,"69,18",3534,2438,"1,45",39,"1,77","1,10%","19,58",4,2,1,"198,53","2,87"
2026-07-12,2026-07-12,Relógios — sempre ativo,Lookalike 1% — compradores,"104,49",5655,3821,"1,48",54,"1,93","0,95%","18,48",6,2,1,"198,53","1,90"
2026-07-12,2026-07-12,Relógios — sempre ativo,Interesse — relógios,"72,45",3922,2650,"1,48",38,"1,91","0,97%","18,47",4,2,1,"198,53","2,74"
2026-07-12,2026-07-12,Relógios — sempre ativo,Retargeting — 30 dias,"72,65",3932,2657,"1,48",38,"1,91","0,97%","18,48",4,2,1,"198,53","2,73"
2026-07-13,2026-07-13,Relógios — sempre ativo,Lookalike 1% — compradores,"96,16",4909,3251,"1,51",44,"2,19","0,90%","19,59",5,1,0,"0,00","0,00"
